Type,Cost,Amount,Coin,Fees,Status,Date,Decode,Exchange
Sell,0.01178647,0.640569,NANO,0.00001179,COMPLETED,"March 1, 2018",ETH,Kucoin
Buy,0.01673521,47.9519,REQ,0.0479519,COMPLETED,"March 2, 2018",ETH,Kucoin
Buy,0.00001679,0.0481,REQ,0.0000481,COMPLETED,"March 2, 2018",ETH,Kucoin
Buy,0.000156,3,CAT,0.003,COMPLETED,"March 4, 2018",ETH,Kucoin
Buy,0.01324099,46.574,REQ,0.046574,COMPLETED,"March 15, 2018",ETH,Kucoin
Sell,0.015755,46,REQ,0.00001576,COMPLETED,"March 20, 2018",ETH,Kucoin
Sell,0.02827557,70.7066,REQ,0.00002828,COMPLETED,"March 21, 2018",ETH,Kucoin
Buy,0.04398304,2.609,NEBL,0.002609,COMPLETED,"March 21, 2018",ETH,Kucoin
Buy,0.00000347,0.000206,NEBL,0.00000021,COMPLETED,"March 21, 2018",ETH,Kucoin
Sell,0.00017982,2.997,CAT,0.00000018,COMPLETED,"March 23, 2018",ETH,Kucoin
Sell,0.07385393,3.356997,NEBL,0.00007385,COMPLETED,"March 24, 2018",ETH,Kucoin
Buy,0.07393863,5.090264,NANO,0.00509026,COMPLETED,"March 26, 2018",ETH,Kucoin
Buy,0.00002109,0.001452,NANO,0.00000145,COMPLETED,"March 26, 2018",ETH,Kucoin
Sell,0.02073444,34.5574,CVC,0.00002073,COMPLETED,"April 10, 2018",ETH,Kucoin
Buy,0.02071371,1.836322,NANO,0.00183632,COMPLETED,"April 12, 2018",ETH,Kucoin
Sell,0.10236059,80.6624,PRL,0.00010236,COMPLETED,"April 14, 2018",ETH,Kucoin
Buy,0.00979313,7.0683,PRL,0.0070683,COMPLETED,"April 14, 2018",ETH,Kucoin
Buy,0.016922,1,EOS,0.001,COMPLETED,"April 14, 2018",ETH,Kucoin
Buy,0.012801,10,PRL,0.01,COMPLETED,"April 14, 2018",ETH,Kucoin
Buy,0.01202,10,PRL,0.01,COMPLETED,"April 15, 2018",ETH,Kucoin
Buy,0.016578,1,EOS,0.001,COMPLETED,"April 15, 2018",ETH,Kucoin
Buy,0.01608,1,EOS,0.001,COMPLETED,"April 15, 2018",ETH,Kucoin
Sell,0.0160394,1,EOS,0.00001604,COMPLETED,"April 15, 2018",ETH,Kucoin
Sell,0.01321751,9.98,PRL,0.00001322,COMPLETED,"April 18, 2018",ETH,Kucoin
Buy,0.010014,10,PRL,0.01,COMPLETED,"April 25, 2018",ETH,Kucoin
Sell,0.00415374,1.997,EOS,0.00000415,COMPLETED,"April 29, 2018",BTC,Kucoin
Buy,0.00805,10,PRL,0.01,COMPLETED,"June 2, 2018",ETH,Kucoin
Buy,0.0066,10,PRL,0.01,COMPLETED,"June 4, 2018",ETH,Kucoin
Buy,0.0065,10,PRL,0.01,COMPLETED,"June 4, 2018",ETH,Kucoin
Buy,0.006,10,PRL,0.01,COMPLETED,"June 9, 2018",ETH,Kucoin
Buy,0.005,10,PRL,0.01,COMPLETED,"June 10, 2018",ETH,Kucoin
Buy,0.00512774,0.174212,ETC,0.00017421,COMPLETED,"June 12, 2018",ETH,Kucoin
Sell,0.00176427,1.0978,EOS,0.00000176,COMPLETED,"June 17, 2018",BTC,Kucoin
Sell,0.00028992,0.1804,EOS,0.00000029,COMPLETED,"June 17, 2018",BTC,Kucoin
Sell,0.0002319,0.1443,EOS,0.00000023,COMPLETED,"June 17, 2018",BTC,Kucoin
Sell,0.00027835,0.1732,EOS,0.00000028,COMPLETED,"June 17, 2018",BTC,Kucoin
Sell,0.00019478,0.1212,EOS,0.00000019,COMPLETED,"June 17, 2018",BTC,Kucoin
